Title Topic: Counterpoint,
"
At the top of the page is a topic title. In the left column below, there are several topics that are related to the title topic in some way. 

What I need from you is to choose around 20 of the topics in the list below and indicate if it would be better to learn about that topic before or after you learn about the title topic.
indicate your answer in the column to the right (Before/After). It would also be helpful if your labels were relatively balanced, but not totally a requirement. 
(you are also welcome to do more than 20 if you like)
 
You will likely run into topics where it will be hard to decide. Choose just those topics you are most sure should come before or after.

Please don't spend more than 5 minutes on this! I don't want to take too much of anyone's time.

Thank you!",
Topic,Before/After
Pitch contour,before
Counterpoint,
Contrapuntal motion,before
False relation,before
Hauptstimme,
Consecutive fifths,before
Part (music),before
Common practice period,after
Monophony,before
Charles Seeger,
Minimal music,
Lou Harrison,
Latin,
Peter Westergaard's tonal theory,
The Well-Tempered Clavier,after
Post-tonal music theory,after
Leo Ornstein,
Tatiana Nikolayeva,
Frère Jacques in popular culture,
Atmosphères,after
Kyle Gann,
History of sonata form,after
Melodic fission,before
Gottfried van Swieten,
Donald Tovey,
Igor Markevitch,
Sonatas and Interludes,
Mykola Leontovych,
Suspended chord,
Gordon Jacob,
Ernst Toch,
Baldassare Galuppi,
Futurism (music),
Cello Suites (Bach),after
Symphony No. 9 (Mahler),after
Ernst Krenek,
Nikolai Myaskovsky,
Symphony No. 3 (Beethoven),
The Art of Fugue,
Gentle Giant,
Tone cluster,
Magnificat (Bach),
Alexander Glazunov,
Consonance and dissonance,
Hector Berlioz as critic and author,
Schillinger System,
Bernardo Kuczer,
Paul Lacombe,
Sergio Calligaris,
Daniel W. McCarthy,
Laurence Traiger,
Arthur Bliss,
Sackbut,
Carmelo Pace,
Tritone,
Carl Philipp Emanuel Bach,
Robert Carl,
Henri Dutilleux,
Marcel Poot,
Robert Moffat Palmer,
Jean Absil,
Aleksander Michałowski,
Davide Perez,
András Schiff,
Aurelio Giorni,
First Suite in E-flat for Military Band,
Charles Kennedy Scott,
Maximilian Steinberg,
Chorale,after
Norman Dello Joio,
Clavier-Übung III,
Andrey Kasparov,
Little Mary Sunshine,
Longy School of Music of Bard College,
Vexations,
Mazurkas (Chopin),
Kaikhosru Shapurji Sorabji,
David Tukhmanov,
Aribert Reimann,
Arsenio Rodríguez,
Sub-Saharan African music traditions,
American march music,
Choro,
"Ferdinando de' Medici, Grand Prince of Tuscany",
Music of Pyotr Ilyich Tchaikovsky,
Georg Philipp Telemann,
Edgard Varèse,
Timeline of trends in Italian music,
Johann Pachelbel,
Polyphony,
Variation (music),
Kurt Elling,
National University of Music Bucharest,
"Meine Seel erhebt den Herren, BWV 10",
Charles-Valentin Alkan,
Elliott Carter,
John Lewis (pianist),
William Walton,
Astor Piazzolla,
Rhythm,
Darius Milhaud,
