Title Topic: Evidence-based policy,
"
At the top of the page is a topic title. In the left column below, there are several topics that are related to the title topic in some way. 

What I need from you is to choose around 20 of the topics in the list below and indicate if it would be better to learn about that topic before or after you learn about the title topic.
indicate your answer in the column to the right (Before/After). It would also be helpful if your labels were relatively balanced, but not totally a requirement. 
(you are also welcome to do more than 20 if you like)
 
You will likely run into topics where it will be hard to decide. Choose just those topics you are most sure should come before or after.

Please don't spend more than 5 minutes on this! I don't want to take too much of anyone's time.

Thank you!",
Topic,Before/After
Evidence-based policy,
Policy-based evidence making,After
Evidence-based practice,After
Evidence-Informed Policy Network,After
Co-production (society),
Leapfrogging,
Evidence-based toxicology,
Evidence-based legislation,After
Evidence-based library and information practice,
Evidence-based scheduling,
Evidence-based dentistry,
Campbell Collaboration,
Evidence-based policing,
Evidence-based education,
Hierarchy of evidence,
Evidence-based management,
Metascience,
Spaced repetition,
Evidence-based nursing,
Evidence-based pharmacy in developing countries,
Evidence-based conservation,
Evidence-based assessment,
Science wars,
Cochrane (organisation),
Actor–network theory,
Diffusion of innovations,
Evidence-based design,
Effective altruism,
Paradigm shift,
Antiscience,
Science studies,Before
PICO process,
Women in STEM fields,
German Agency for Quality in Medicine,
Iain Chalmers,
Meta-analysis,
John Ioannidis,
Advocacy evaluation,
Policy entrepreneur,
Academic freedom,
Systematic review,
Citizen science,
Public policy,Before
Randomized controlled trial,After
Science education,
Skeptical movement,
Linear model of innovation,
Economics of scientific knowledge,
EuroHealthNet,
Normalization process theory,
Scientific evidence,
Technological convergence,
Technological transitions,
Sociotechnology,
Mapping controversies,
Women in science,
Economics of science,
Pseudoscience,
Innovation,
Digital divide,
Technological innovation system,
Technology assessment,
Scientific controversy,
Boundary-work,
Technology studies,
Engineering studies,
Strong programme,
Science of science policy,
Factor 10,
Double hermeneutic,
Socio-scientific issues,
Scientific dissent,
Reverse salient,
Theories of technology,
Normal science,
Agency for Healthcare Research and Quality,
Scientific enterprise,
Post-normal science,
Health policy,After
National Institute for Health and Care Excellence,
Science of team science,
Transition management (governance),
Global governance,After
Technoscience,
United States Pirate Party,
Criticism of technology,
Regulation of science,After
Evidence,
Technology dynamics,
Uncertainty,
Royal Statistical Society,
Social shaping of technology,
Early adopter,
History of technology,
Skunkworks project,
Positivism,Before
Scientocracy,Before
Transhumanism,Before
Empiricism,Before
Technical change,
Technology policy,After
