Title Topic: Mental health,
"
At the top of the page is a topic title. In the left column below, there are several topics that are related to the title topic in some way. 

What I need from you is to choose around 20 of the topics in the list below and indicate if it would be better to learn about that topic before or after you learn about the title topic.
indicate your answer in the column to the right (Before/After). It would also be helpful if your labels were relatively balanced, but not totally a requirement. 
(you are also welcome to do more than 20 if you like)
 
You will likely run into topics where it will be hard to decide. Choose just those topics you are most sure should come before or after.

Please don't spend more than 5 minutes on this! I don't want to take too much of anyone's time.

Thank you!",
Topic,Before/After
Dignity of risk,
Mental health in the Middle East,After
Good agricultural practice,
Mental health professional,After
Well-being,
Recovery approach,After
Cultural competence in healthcare,Before
Reactive attachment disorder,After
Dance therapy,
Health literacy,Before
Schizoaffective disorder,After
Self-medication,Before
Patient safety,
Mental health inequality,After
Supportive housing,
Social work with groups,Before
Diagnosis of schizophrenia,After
Pharmaceutical sales representative,
Moral treatment,
Trauma model of mental disorders,Before
Mystical psychosis,After
Sleep medicine,
Flint water crisis,
Psychological resilience,Before
Child and adolescent psychiatry,After
Codependency,After
Psychiatric survivors movement,After
Suicide prevention,Before
Gratitude,
Palliative care,
Sex reassignment therapy,After
List of medical ethics cases,
List of plants used in herbalism,
Thomas Szasz,Before
Mental environment,
Alcohol abuse,Before
PARfessionals,After
Infant mental health,After
Mental health in Southeast Africa,After
Panic attack,After
Mental health in aviation,After
Emotional intelligence,Before
Global mental health,Before
World Mental Health Day,Before
Stuttering,After
Andrew J. Duck,
Statistical hypothesis testing,
Emotional well-being,Before
Social anxiety disorder,After
The Wretched of the Earth,
Psychophysiology,After
Sexual orientation change efforts,After
Personality disorder,After
Environmental health,
Health in China,
Stress (biology),Before
Refugee children,After
Prenatal care in the United States,Before
Liberty (advocacy group),
Harm reduction,Before
Donald O. Hebb,
Security clearance,
Major depressive disorder,After
Military psychiatry,After
Mental health,
Positive psychology,Before
Stereotype threat,
Consumer behaviour,
Social stigma,
Obsessive–compulsive disorder,After
Mental health in China,After
Public health laboratory,
North Korean defectors,
Genetically modified food,
Outline of psychiatry,
Homelessness,Before
Public health surveillance,
Social norms approach,
Mental disorder,After
Seasonal affective disorder,After
Auxology,
Fecal–oral route,
Disease surveillance,
Mary Mallon,
Social medicine,
Patient safety organization,
Population health,
Feminist psychology,
Community health,
Public health genomics,
Mind,Before
Music therapy,After
Long-term effects of cannabis,Before
Drug overdose,
Social hygiene movement,
Homelessness in the United States,
Health promotion,
Health equity,
Hand washing,
Pharmacovigilance,
Health care in the United States,
