Title Topic: Prevention science,
"
At the top of the page is a topic title. In the left column below, there are several topics that are related to the title topic in some way. 

What I need from you is to choose around 20 of the topics in the list below and indicate if it would be better to learn about that topic before or after you learn about the title topic.
indicate your answer in the column to the right (Before/After). It would also be helpful if your labels were relatively balanced, but not totally a requirement. 
(you are also welcome to do more than 20 if you like)
 
You will likely run into topics where it will be hard to decide. Choose just those topics you are most sure should come before or after.

Please don't spend more than 5 minutes on this! I don't want to take too much of anyone's time.

Thank you!",
Topic,Before/After
Protective factor,Before
Epidemiology,Before 
Sexually transmitted infection,
Design of experiments,After
Digital object identifier,
International Standard Book Number,
PubMed Identifier,
Public health,Before
PubMed Central,After
World Health Organization,
Randomized controlled trial,
Cardiovascular disease,
International Statistical Classification of Di...,
International Standard Serial Number,
Social hygiene movement,Before
Social psychology,Before
JSTOR,After 
Infant mortality,
Substance abuse,
Wayback Machine,
Mental health,
Health,Before
Suicide prevention,
Human nutrition,
Scientific method,Before
Safe sex,
Analysis of variance,After
Women's health,
Psychology,
Centers for Disease Control and Prevention,
Social determinants of health,After
Maternal health,
Nutrition,
Mental disorder,
Hepatitis C,
HIV/AIDS,
Specialty (medicine),
History of HIV/AIDS,
Statistical hypothesis testing,
Regression analysis,After
Sociology,
Medicine,
HIV,
Medical sociology,
Alzheimer's disease,
Reproductive health,
Occupational safety and health,
Health psychology,
Community health,
Health equity,After
Sociology of health and illness,
Preventive healthcare,Before
Health communication,
United States,
Social science,Before
Statistics,After
"Olympia, Washington",
Cancer,
Library of Congress Control Number,
Education,
OCLC,
Schizophrenia,
Cognitive behavioral therapy,
Hepatitis B,
Birth control,
Z-test,
Biostatistics,After
Vaccine trial,
Case–control study,
Student's t-test,
Major depressive disorder,
Suicidology,Before
Vaccination,
Emergency psychiatry,
HIV/AIDS in Taiwan,
Alcoholism,
Disease surveillance,
Quarantine,
Stroke,
Heart failure,
Healthy diet,
Diffusion of innovations,After
Family planning,
Health policy,
Disease,Before
Social medicine,
Health education,
Behavior change (public health),After
Health system,
Ministry of Health and Family Welfare,
Globalization and disease,
Child mortality,
Oral hygiene,
Patient safety,
Pharmacovigilance,
List of epidemics,
European Centre for Disease Prevention and Con...,
Smoking cessation,
Medical anthropology,
Margaret Sanger,
