Title Topic: Stargate,
"
At the top of the page is a topic title. In the left column below, there are several topics that are related to the title topic in some way. 

What I need from you is to choose around 20 of the topics in the list below and indicate if it would be better to learn about that topic before or after you learn about the title topic.
indicate your answer in the column to the right (Before/After). It would also be helpful if your labels were relatively balanced, but not totally a requirement. 
(you are also welcome to do more than 20 if you like)
 
You will likely run into topics where it will be hard to decide. Choose just those topics you are most sure should come before or after.

Please don't spend more than 5 minutes on this! I don't want to take too much of anyone's time.

Thank you!",
Topic,Before/After
Stargate Origins,After
Stargate,Before
Stargate Infinity,After
Stargate (film),Before
List of Stargate comics,After
List of Stargate literature,After
Stargate (device),Before
Stargate Atlantis,After
Brad Wright,After
Stargate: Resistance,After
List of awards and nominations received by Sta...,After
List of Stargate audiobooks,After
List of Stargate games,After
List of awards and nominations received by Sta...,After
List of awards and nominations received by Sta...,After
Stargate Worlds,After
Stargate: The Ark of Truth,After
Stargate literature,After
Stargate (1995 video game),After
Children of the Gods,After
Mythology of Stargate,After
Bill McCay,After
Stargate fandom,After
Stargate SG-1,Before
Media franchise,After
Stargate Universe,After
Stargate (soundtrack),After
Jonathan Glassner,After
Roland Emmerich,After
Stargate SG-1 (roleplaying game),After
A Dog's Breakfast,After
Gatecon,After
Dean Devlin,After
Pyramids of Mars,After
Brian Griffin's House of Payne,After
Wormholes in fiction,After
Ali G,After
Teleportation,After
Stargate SG-1 (season 9),After
Stargate SG-1 (season 10),After
Stargate Atlantis (season 2),After
Stargate SG-1 (season 5),After
Stargate Atlantis (season 3),After
List of Stargate Atlantis episodes,After
Stargate SG-1 (season 2),After
Stargate Atlantis (season 4),After
George Hammond (Stargate),After
Elizabeth Weir (Stargate),After
Everett Young,After
Tamara Johansen,After
Radek Zelenka,After
Vala Mal Doran,After
Aiden Ford,After
Stargate Atlantis (season 1),After
Stargate Atlantis (season 5),After
Jonas Quinn,After
Stargate SG-1 (season 4),After
Evan Lorne,After
List of Stargate SG-1 episodes,After
List of multimedia franchises,After
Matthew Scott (Stargate),After
Stargate SG-1 (season 6),After
Richard Woolsey,After
Samantha Carter,After
Stargate SG-1 (season 7),After
Ronald Greer (Stargate),After
Carson Beckett,After
Teyla Emmagan,After
Daniel Jackson (Stargate),After
John Sheppard (Stargate),After
Nicholas Rush,After
Teal'c,After
Jack O'Neill,After
Eli Wallace,After
Stargate (pinball),After
Cameron Mitchell (Stargate),After
Stargate SG-1 (season 1),After
Rodney McKay,After
Stargate Universe (season 2),After
Stargate SG-1 (season 3),After
Stargate SG-1 (season 8),After
Stargate: Continuum,After
Goa'uld,After
Jennifer Keller,After
Kull Warrior,After
Genii (Stargate),After
Ronon Dex,After
Stargate Universe (season 1),After
Atlantis (Stargate),After
List of Stargate Universe episodes,After
Wraith (Stargate),After
List of Stargate Universe characters,After
List of Earth starships in Stargate,After
Pagan's Mind,After
Asuran,After
Goa'uld technology in Stargate,After
Ori (Stargate),After
Ancient (Stargate),After
Tok'ra,After
List of Stargate Atlantis characters,After
List of starships in Stargate,After
