Topic,Before/After
Decision tree,
Decision analysis,before
Decision tree learning,before
"Behavior tree (artificial intelligence, roboti...",before
Influence diagram,before
Information gain in decision trees,before
Decision tree model,before
Decision table,before
ID3 algorithm,after
Random forest,after
C4.5 algorithm,after
Decision quality,before
Behavior selection algorithm,
Causal model,
Gradient boosting,after
Decisional balance sheet,
Analysis paralysis,
Tree (graph theory),before
Grafting (decision trees),
Ahoona,
Decision support system,
International Standard Book Number,
Digital object identifier,
Goal,
Utility,
Operations research,
Issue tree,
Problem structuring methods,
Probability,before
Diagrammatic reasoning,
Issue-based information system,
Morphological analysis (problem-solving),
Business decision mapping,
Information mapping,
Conceptual graph,
Visual language,
Cognitive map,
Concept map,
Olog,
Argument map,
Algorithm,before
Graphic communication,
Topic map,
Visual analytics,
Artificial intelligence,after
Structured writing,
Logic of argumentation,
Design rationale,
NoteCards,
Robert E. Horn,
Group concept mapping,
Computer science,before
Supervised learning,before
Association rule learning,
Hyperbolic tree,
International Standard Serial Number,
Radial tree,
Personal knowledge base,
Layered graph drawing,
Dendrogram,
Boosting (machine learning),after
Mind map,
PubMed Identifier,
Tree structure,before
Pathfinder network,
Rhetorical structure theory,
Data mining,
Deep learning,after
Object-role modeling,
Hypertext,
Artificial neural network,after
Geovisualization,
Reinforcement learning,after
List of concept- and mind-mapping software,
Visualization (graphics),
Semantic Web,
Formal concept analysis,
Statistical classification,before
Bayesian network,
Regression analysis,
Information design,
Semantic network,
Statistics,before
Treemapping,
Cluster analysis,
Entity–relationship model,
Brian R. Gaines,
Flowchart,
Graph theory,
Unsupervised learning,
Database,
Bias–variance tradeoff,
Knowledge representation and reasoning,
Analysis of competing hypotheses,
Game theory,
Machine learning,before
Naive Bayes classifier,
Graph drawing,
Infographic,
Graphical model,
Logistic regression,
