Topic,Before/After
Digital recording,
Sound-on-film,after
DA-88,
High fidelity,before
Loudspeaker,before
ADAT,after
Hard disk recorder,
Variable Control Voice Actuator,
Comparison of analog and digital recording,
Alesis,after
Magnetic storage,
Audio signal,before
Tape recorder,
DualDisc,
Highway Hi-Fi,
Sampling (signal processing),before
Microphone,before
Headphones,before
Ludwig Blattner,
Experimental musical instrument,after
Mixing console,before
Sound,before
Music technology (mechanical),before
Stage monitor system,
Transducer,
Graphophone,
Loudspeaker enclosure,after
Sound follower,
Sel-Sync,
Phonic Corporation,
Dbx (noise reduction),after
Zoom H4n Handy Recorder,after
Mastering (audio),before
DCT (videocassette format),
Data storage,
MIDI controller,before
Live event support,
Professional Disc,
Effects unit,
Magnetic tape data storage,
Kees Schouhamer Immink,
Dither,
Music technology,
Sound reinforcement system,
Korg Kronos,
P2 (storage media),
SIGSALY,
SD card,
Optical disc,
USB flash drive,
Color,
Denon,
Phonofilm,
Nyquist–Shannon sampling theorem,
The Visitors (ABBA album),
Talk box,
HDCAM,
NICAM,
Punched card,
DTS (sound system),
Magnetic stripe card,
Camcorder,
Compact Disc Digital Audio,
Direct Stream Digital,
Music sequencer,
Recorded history,
Record restoration,
Virgil Thomson,
Analog signal,
Donald Fagen,
High Pressure Low,
Frankie Goes to Hollywood,
The Protomen,
Auto-Tune,
Soundscape ecology,
Digital Works,
Pulse-code modulation,
Born-digital,
Tejas (album),
Tres Hombres,
Merzbow,
Fandango!,
Tonmi Lillman,
Betacam,
Chiptune,
Solid-state drive,
Phonograph record,
Cecilia (Simon & Garfunkel song),
Pro Tools,after
Ivalice,
Luminance,
Mitsubishi Electric,
Phonograph,
RAID,
Morristown–Beard School,
Bit,before
Bootleg recording,after
Hard disk drive,
Timeline of audio formats,
DataPlay,
Friction,
