Topic,Before/After
Evidence-based policy,
Policy-based evidence making,after
Evidence-based practice,after
Evidence-Informed Policy Network,after
Co-production (society),
Leapfrogging,
Evidence-based toxicology,
Evidence-based legislation,after
Evidence-based library and information practice,
Evidence-based scheduling,
Evidence-based dentistry,
Campbell Collaboration,
Evidence-based policing,
Evidence-based education,
Hierarchy of evidence,
Evidence-based management,
Metascience,
Spaced repetition,
Evidence-based nursing,
Evidence-based pharmacy in developing countries,
Evidence-based conservation,
Evidence-based assessment,
Science wars,
Cochrane (organisation),
Actor–network theory,
Diffusion of innovations,
Evidence-based design,
Effective altruism,
Paradigm shift,
Antiscience,
Science studies,before
PICO process,
Women in STEM fields,
German Agency for Quality in Medicine,
Iain Chalmers,
Meta-analysis,
John Ioannidis,
Advocacy evaluation,
Policy entrepreneur,
Academic freedom,
Systematic review,
Citizen science,
Public policy,before
Randomized controlled trial,after
Science education,
Skeptical movement,
Linear model of innovation,
Economics of scientific knowledge,
EuroHealthNet,
Normalization process theory,
Scientific evidence,
Technological convergence,
Technological transitions,
Sociotechnology,
Mapping controversies,
Women in science,
Economics of science,
Pseudoscience,
Innovation,
Digital divide,
Technological innovation system,
Technology assessment,
Scientific controversy,
Boundary-work,
Technology studies,
Engineering studies,
Strong programme,
Science of science policy,
Factor 10,
Double hermeneutic,
Socio-scientific issues,
Scientific dissent,
Reverse salient,
Theories of technology,
Normal science,
Agency for Healthcare Research and Quality,
Scientific enterprise,
Post-normal science,
Health policy,after
National Institute for Health and Care Excellence,
Science of team science,
Transition management (governance),
Global governance,after
Technoscience,
United States Pirate Party,
Criticism of technology,
Regulation of science,after
Evidence,
Technology dynamics,
Uncertainty,
Royal Statistical Society,
Social shaping of technology,
Early adopter,
History of technology,
Skunkworks project,
Positivism,before
Scientocracy,before
Transhumanism,before
Empiricism,before
Technical change,
Technology policy,after
